wrinkle,tone,elasticity,moisture,skinage
46 ,44 ,43 ,47 ,50 
29 ,32 ,37 ,38 ,59 
64 ,70 ,73 ,66 ,33 
59 ,45 ,52 ,56 ,38 
30 ,26 ,26 ,31 ,73 
54 ,65 ,63 ,55 ,24 
72 ,67 ,63 ,64 ,31 
49 ,53 ,55 ,54 ,38 
20 ,28 ,23 ,31 ,70 
71 ,76 ,71 ,74 ,18 
78 ,75 ,73 ,66 ,18 
71 ,65 ,64 ,57 ,29 
55 ,57 ,59 ,62 ,43 
46 ,49 ,43 ,44 ,51 
68 ,79 ,79 ,77 ,21 
59 ,50 ,58 ,51 ,39 
81 ,79 ,74 ,83 ,24 
45 ,41 ,47 ,45 ,50 
70 ,61 ,70 ,64 ,31 
68 ,67 ,76 ,70 ,35 
53 ,42 ,39 ,36 ,48 
47 ,43 ,34 ,45 ,47 
63 ,53 ,64 ,55 ,24 
66 ,66 ,65 ,72 ,32 
31 ,31 ,40 ,24 ,57 
28 ,30 ,17 ,39 ,74 
73 ,75 ,72 ,76 ,19 
44 ,38 ,45 ,42 ,67 
43 ,36 ,44 ,43 ,47 
34 ,32 ,29 ,34 ,57 
73 ,75 ,74 ,66 ,17 
60 ,66 ,58 ,58 ,25 
27 ,20 ,22 ,27 ,69 
45 ,47 ,57 ,43 ,53 
72 ,66 ,73 ,81 ,18 
33 ,29 ,35 ,35 ,58 
40 ,44 ,50 ,42 ,49 
59 ,61 ,58 ,62 ,25 
58 ,60 ,47 ,54 ,40 
77 ,71 ,81 ,75 ,21 
41 ,50 ,54 ,50 ,54 
14 ,28 ,29 ,22 ,68 
44 ,50 ,46 ,37 ,49 
82 ,76 ,76 ,72 ,22 
50 ,41 ,48 ,42 ,50 
38 ,38 ,33 ,46 ,64 
81 ,69 ,73 ,79 ,20 
55 ,54 ,58 ,58 ,41 
40 ,44 ,40 ,44 ,47 
31 ,42 ,35 ,39 ,62 
21 ,30 ,30 ,26 ,72 
51 ,39 ,48 ,50 ,52 
28 ,24 ,30 ,28 ,72 
67 ,79 ,68 ,77 ,18 
63 ,64 ,65 ,58 ,27 
76 ,76 ,66 ,74 ,18 
71 ,74 ,65 ,71 ,15 
82 ,85 ,82 ,74 ,26 
69 ,70 ,56 ,62 ,29 
49 ,39 ,54 ,46 ,52 
57 ,54 ,58 ,57 ,41 
56 ,49 ,46 ,46 ,54 
63 ,55 ,59 ,37 ,39 
51 ,51 ,55 ,61 ,39 
38 ,33 ,27 ,35 ,58 
46 ,48 ,45 ,42 ,50 
55 ,55 ,52 ,58 ,40 
21 ,34 ,21 ,18 ,69 
71 ,76 ,67 ,78 ,18 
33 ,34 ,41 ,27 ,79 
80 ,83 ,77 ,77 ,24 
24 ,20 ,21 ,40 ,71 
69 ,81 ,72 ,66 ,17 
31 ,35 ,52 ,41 ,65 
85 ,74 ,75 ,88 ,26 
72 ,78 ,71 ,78 ,20 
31 ,43 ,32 ,34 ,60 
38 ,34 ,36 ,35 ,61 
39 ,46 ,43 ,53 ,50 
27 ,26 ,23 ,23 ,70 
57 ,57 ,61 ,58 ,43 
33 ,37 ,31 ,32 ,59 
61 ,61 ,64 ,62 ,27 
43 ,49 ,44 ,34 ,48 
30 ,22 ,21 ,33 ,72 
78 ,77 ,76 ,71 ,21 
47 ,47 ,44 ,45 ,51 
66 ,75 ,69 ,74 ,16 
71 ,62 ,70 ,59 ,31 
51 ,55 ,53 ,53 ,38 
47 ,40 ,39 ,42 ,47 
77 ,69 ,74 ,81 ,20 
74 ,77 ,78 ,75 ,21 
28 ,10 ,26 ,22 ,67 
59 ,52 ,61 ,72 ,26 
45 ,50 ,38 ,44 ,49 
74 ,75 ,78 ,77 ,21 
69 ,75 ,72 ,78 ,18 
61 ,56 ,51 ,50 ,39 
30 ,32 ,26 ,18 ,72 
83 ,86 ,76 ,75 ,25 
38 ,29 ,40 ,35 ,60 
75 ,66 ,74 ,68 ,36 
